,coins,amount,rate_usd,total_eth,total_usd
0,MANA,80.0,0.7335,0.036,58.68
1,HBAR,1614.0,0.0736,0.072,118.79
2,SAND,99.0,0.7982,0.048,79.022
3,FIL,24.09,5.1,0.074,122.859
4,GRT,936.0,0.0845,0.048,79.092
5,OP,43.25,2.335,0.061,100.989
6,APT,30.4,12.5552,0.231,381.678
sum,TOTAL,---,---,0.57,941.11
